指标,国民总收入(亿元),国内生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),人均国内生产总值(元),国内游客(百万人次),城镇居民国内游客(百万人次),农村居民国内游客(百万人次),国内旅游总花费(亿元),城镇居民国内旅游总花费(亿元),农村居民国内旅游总花费(亿元),国内旅游人均花费(元),城镇居民国内旅游人均花费(元),农村居民国内旅游人均花费(元),旅客运输平均运距(公里),铁路旅客运输平均运距(公里),公路旅客运输平均运距(公里),水运旅客运输平均运距(公里),民用航空旅客运输平均运距(公里),旅客周转量(亿人公里),铁路旅客周转量(亿人公里),国家铁路旅客周转量(亿人公里),地方铁路旅客周转量(亿人公里),合资铁路旅客周转量(亿人公里),公路旅客周转量(亿人公里),水运旅客周转量(亿人公里),民用航空旅客周转量(亿人公里),旅行社数(个),星级饭店总数(个),入境游客(万人次),外国人入境游客(万人次),港澳同胞入境游客(万人次),台湾同胞入境游客(万人次),入境过夜游客(万人次),国内居民出境人数(万人次),国内居民因私出境人数(万人次),国内游客(万人次),国际旅游外汇收入(亿美元),国际旅游外汇收入(百万美元),国内旅游总花费(亿元),住宿和餐饮业法人企业数(个),住宿和餐饮业年末从业人数(万人),住宿和餐饮业营业额(亿元),住宿和餐饮业餐费收入(亿元),住宿和餐饮业餐饮营业面积(万平方米),住宿业法人企业数(个),住宿业年末从业人数(人),住宿业营业额(亿元),住宿业客房收入(亿元),住宿业餐费收入(亿元),住宿业客房数(万间),住宿业床位数(万位),住宿业餐饮营业面积(万平方米),餐饮业法人企业数(个),餐饮业年末从业人数(人),餐饮业营业额(亿元),餐饮业餐费收入(亿元),餐饮业餐饮营业面积(万平方米),社会消费品零售总额(亿元)
1996年,70779.6,71813.6,13878.3,33827.3,24108,5898,639,256,383,1638.4,1368.4,270,256.2,534.1,70.5,74,353,44,70,1346,9164.8,3347.6,3322.01,3.36,22.2,4908.79,160.57,747.84,4252,4418,5112.75,674.43,4249.47,173.39,2276.5,506.07,241.39,63900,102,10200,1638.38,,,,,,,,,,,,,,48240,7753108,,,,28120.4
1997年,78802.9,79715,14265.2,37545,27904.8,6481,644,259,385,2112.7,1551.8,560.9,328.1,599.8,145.7,75.83,384.2,46,69,1374,10055.48,3584.86,3543.53,4.72,36.61,5541.4,155.7,773.52,4986,5201,5758.79,742.8,4794.33,211.76,2377,532.39,243.96,64400,120.74,12074,2112.7,,,,,,,,,,,,,,3266,660850,442.59,,,30922.9
1998年,83817.6,85195.5,14618.7,39017.5,31559.3,6860,694,250,445,2391.2,1515.1,876,345,607,197,77.15,397,47,59,1391,10636.7,3773.42,3690.97,5.01,77.44,5942.81,120.27,800.24,6222,5782,6347.84,710.77,5407.54,217.46,2507.3,842.56,319.02,69400,126.02,12602,2391.18,,,,,,,,,,,,,,3508,664749,528.5,,,32955.6
1999年,89366.5,90564.4,14549,41079.9,34935.5,7229,719,284,435,2831.9,1748.2,1083.7,394,614.8,249.5,81,412.91,48.85,56.03,1407,11299.7,4135.9,4046.26,4.4,85.27,6199.24,107.28,857.3,7326,7035,7279.56,843.23,6167.06,258.46,2704.7,923.24,426.61,71900,140.99,14099,2831.92,,,,,,,,,,,,,,4132,779370,618.7,,,35122
2000年,99066.1,100280.1,14717.4,45663.7,39899.1,7942,744,329,415,3175.5,2235.3,940.3,426.6,678.6,226.6,82.9,431,49,51.8,1443.7,12261.1,4532.59,4414.68,4.59,113.32,6657.42,100.54,970.54,8993,10481,8344.39,1016.04,7009.93,310.86,3122.9,1047.26,563.09,74400,162.24,16224,3175.54,,,,,,,,,,,,,,5021,978043,740.3,,,38447.1
2001年,109276.2,110863.1,15502.5,49659.4,45701.2,8717,784,375,409,3522.4,2651.7,870.7,449.5,708.3,212.7,85.75,453.31,51.38,48.21,1450,13155.13,4766.82,4636.55,5.2,125.07,7207.08,89.88,1091.35,10532,7358,8901.3,1122.64,7434.45,344.2,3316.7,1213.44,694.67,78400,177.92,17792,3522.37,,,,,,,,,,,,,,5935,1132733,896.2,,,42240.4
2002年,120480.4,121717.4,16190.2,54104.1,51423.1,9506,878,385,493,3878.4,2848.1,1030.3,441.8,739.7,209.1,88,471,53,44,1476,14125.6,4969.4,4803.1,5.3,161.1,7805.8,81.8,1268.7,11552,8880,9790.8,1343.95,8080.82,366.06,3680.3,1660.23,1006.14,87800,203.85,20385,3878.36,19299,262.1,2331,,,9232,1282173,1170.5,554.7,438.8,,,,10067,1339245,1160.5,1030.8,,47124.6
2003年,136576.3,137422,16970.2,62695.8,57756,10666,870,351,519,3442.3,2404.1,1038.2,395.7,684.9,200,87,492,53,37,1442,13810.5,4788.61,4622.79,3.99,161.83,7695.6,63.1,1263.19,13361,9751,9166.21,1140.29,7752.73,273.19,3297.1,2022.19,1481.09,87000,174.06,17406,3442.27,19366,287.4,2613.5,,,9444,1529270,1353.3,661.1,507.8,,,,9922,1344263,1260.2,1124,,51303.9
2004年,161415.4,161840.2,20904.3,74285,66650.9,12487,1102,459,643,4710.7,3359,1351.7,427.5,731.8,210.2,92.27,511.09,54,34.8,1470,16309.1,5712.2,5512,4,196.2,8748.4,66.3,1782.3,14927,10888,10903.82,1693.25,8842.05,368.52,4176.1,2885,2298,110200,257.39,25739,4710.71,22091,311.2,3125.5,,,10269,1622808,1551.9,742.2,607.2,,,,11822,1489402,1573.6,1410.6,,58004.1
2005年,185998.9,187318.9,21806.7,88082.2,77430,14368,1212,496,716,5285.9,3656.1,1629.7,436.1,737.1,227.6,94.57,524.47,54.74,33.5,1479,17466.74,6061.96,5833.2,3.53,225.23,9292.08,67.77,2044.93,16245,11828,12029.23,2025.51,9592.79,410.92,4680.9,3102.63,2514,121200,292.96,29296,5285.86,25041,341.8,3711.5,2427.03,5117.9,10971,1744142,1804.28,851.67,715.71,,286.9,1969.6,14070,1673561,1907.22,1711.32,3148.3,66491.7
